timestamp_minute,road_id,vehicle_count,avg_speed_kmph,road_length_km,engine_load_factor,estimated_fuel_L,carbon_emission_gps
1,11,5,43.23,1.901,0.86,0.019,0.73
2,11,4,27.26,1.687,1.02,0.0252,0.97
3,11,3,24.56,1.344,1.09,0.0178,0.69
4,11,8,19.61,1.54,0.93,0.0584,2.25
0,12,2,33.75,1.395,0.74,0.0061,0.24
1,12,1,44.96,0.52,0.97,0.0011,0.04
2,12,4,62.79,1.313,0.97,0.0081,0.31
3,12,5,36.13,1.04,1.18,0.017,0.66
4,12,4,24.26,1.189,0.93,0.0183,0.7
0,13,3,41.73,1.148,1.16,0.0096,0.37
1,13,4,45.14,0.868,0.71,0.0055,0.21
2,13,8,39.68,0.89,1.09,0.0196,0.75
3,13,2,51.62,0.654,1.23,0.0031,0.12
4,13,2,39.0,0.787,0.9,0.0036,0.14
0,14,2,40.72,0.208,1.18,0.0012,0.05
1,14,7,37.31,0.943,0.74,0.0132,0.51
2,14,6,37.72,1.834,1.04,0.0303,1.17
3,14,7,49.74,1.653,0.84,0.0195,0.75
4,14,6,28.93,0.605,0.94,0.0118,0.46
0,15,7,48.2,1.879,0.72,0.0195,0.75
1,15,6,24.92,0.897,0.83,0.018,0.69
2,15,4,32.89,0.217,0.97,0.0026,0.1
3,15,2,50.49,0.75,1.01,0.003,0.12
4,15,3,39.64,0.996,1.24,0.0093,0.36
0,16,4,41.29,0.671,1.26,0.0082,0.32
1,16,7,32.12,0.128,1.05,0.0029,0.11
2,16,4,34.12,1.822,0.98,0.0209,0.8
3,16,3,43.38,1.158,0.82,0.0065,0.25
4,16,2,26.86,1.728,0.86,0.0111,0.43
0,17,6,23.22,1.536,1.02,0.0406,1.56
1,17,3,56.67,1.388,0.79,0.0058,0.22
2,17,5,39.84,1.883,1.29,0.0305,1.17
3,17,9,44.23,1.719,1.17,0.0411,1.58
4,17,6,33.63,1.639,0.98,0.0286,1.1
0,18,6,40.31,1.107,1.01,0.0166,0.64
1,18,9,49.14,1.859,1.05,0.0357,1.38
2,18,4,29.78,0.485,1.07,0.0069,0.27
3,18,9,41.79,1.075,1.17,0.0271,1.04
4,18,2,39.92,1.503,1.17,0.0088,0.34
0,19,10,28.27,1.398,0.96,0.0474,1.82
1,19,6,31.63,1.656,1.16,0.0364,1.4
2,19,9,33.8,1.899,1.01,0.0509,1.96
3,19,4,34.92,0.191,0.98,0.0021,0.08
4,19,1,44.29,0.366,1.19,0.001,0.04
0,20,6,48.14,0.203,0.99,0.0025,0.1
1,20,8,32.3,0.369,0.92,0.0084,0.32
2,20,6,60.24,0.142,1.04,0.0015,0.06
3,20,2,50.37,0.765,1.28,0.0039,0.15
4,20,3,35.13,0.872,0.97,0.0072,0.28
0,21,5,46.57,0.71,1.19,0.0091,0.35
1,21,3,38.87,1.935,0.99,0.0147,0.57
2,21,3,35.27,1.614,0.87,0.0119,0.46
3,21,5,42.08,1.014,1.29,0.0155,0.6
4,21,6,33.91,1.991,0.85,0.03,1.16
0,22,5,31.4,0.388,0.75,0.0046,0.18
1,22,3,34.04,1.226,1.11,0.0119,0.46
2,22,5,53.46,0.728,0.92,0.0063,0.24
3,22,3,21.58,1.918,1.23,0.0328,1.26
4,22,3,34.92,1.21,1.17,0.0121,0.47
0,23,6,35.66,0.977,1.12,0.0185,0.71
1,23,5,58.99,0.285,0.86,0.0021,0.08
2,23,6,46.28,1.099,1.08,0.0154,0.59
3,23,2,27.3,1.99,1.27,0.0184,0.71
4,23,4,31.7,0.464,0.98,0.0057,0.22
0,24,7,52.06,0.996,0.85,0.0114,0.44
1,24,6,40.29,0.626,1.07,0.01,0.39
2,24,5,40.65,0.556,0.8,0.0055,0.21
3,24,4,21.55,0.422,1.05,0.0082,0.32
4,24,3,53.87,0.783,1.12,0.0049,0.19
0,25,3,43.34,1.878,0.83,0.0108,0.41
1,25,7,40.2,1.528,1.1,0.0292,1.13
2,25,7,53.44,1.388,1.29,0.0235,0.9
3,25,6,40.44,1.772,0.85,0.0223,0.86
4,25,6,47.45,1.823,1.16,0.0268,1.03
0,26,7,38.28,1.35,0.91,0.0224,0.86
1,26,8,47.72,0.992,0.74,0.0122,0.47
2,26,6,34.46,0.449,1.16,0.0091,0.35
3,26,3,30.62,0.818,0.92,0.0074,0.28
4,26,7,39.51,1.319,0.72,0.0168,0.65
0,27,5,46.22,1.181,0.92,0.0118,0.45
1,27,5,37.29,1.909,1.15,0.0294,1.13
2,27,7,42.08,0.265,1.24,0.0055,0.21
3,27,4,33.8,0.674,1.1,0.0088,0.34
4,27,9,33.0,0.3,0.87,0.0071,0.27
0,28,4,57.68,0.752,0.85,0.0045,0.17
1,28,5,44.63,0.127,1.04,0.0015,0.06
2,28,2,21.12,1.036,0.97,0.0095,0.37
3,28,6,40.16,1.207,1.2,0.0217,0.83
4,28,3,32.84,0.994,1.22,0.0111,0.43
0,29,6,25.34,1.299,1.01,0.0312,1.2
1,29,2,36.93,1.691,1.13,0.0104,0.4
2,29,3,41.41,1.056,0.94,0.0072,0.28
3,29,5,48.1,1.101,0.93,0.0106,0.41
4,29,3,44.2,0.967,0.88,0.0058,0.22
0,30,4,5.0,0.723,0.84,0.0487,1.88
1,30,5,45.07,0.486,0.97,0.0052,0.2
2,30,6,42.68,0.449,1.15,0.0073,0.28
3,30,3,38.88,0.568,1.02,0.0045,0.17
4,30,3,58.17,1.33,0.9,0.0061,0.24
0,31,4,42.25,0.424,1.16,0.0046,0.18
1,31,5,33.13,0.389,1.1,0.0065,0.25
2,31,4,32.87,0.772,0.95,0.0089,0.34
3,31,2,52.79,0.223,1.24,0.001,0.04
4,31,6,42.88,1.399,0.73,0.0143,0.55
0,32,6,51.02,0.251,1.15,0.0034,0.13
1,32,8,44.66,1.25,1.15,0.0259,1.0
2,32,1,40.29,1.959,1.07,0.0052,0.2
3,32,6,43.83,0.155,1.02,0.0022,0.08
4,32,2,56.66,0.743,1.05,0.0028,0.11
0,33,5,45.08,1.276,1.27,0.0179,0.69
1,33,2,19.67,1.112,0.87,0.0098,0.38
2,33,6,32.73,0.882,1.07,0.0173,0.67
3,33,4,47.01,0.198,0.72,0.0012,0.05
4,33,3,65.3,1.165,1.22,0.0065,0.25
0,34,5,36.32,0.709,1.2,0.0118,0.45
1,34,6,34.54,1.669,0.85,0.0247,0.95
2,34,3,49.81,0.794,1.02,0.0049,0.19
3,34,4,55.12,1.151,0.88,0.0074,0.28
4,34,8,49.46,1.684,0.89,0.0242,0.93
0,35,4,26.99,1.85,1.02,0.0279,1.07
1,35,10,24.57,2.0,1.29,0.1046,4.03
2,35,4,49.78,0.768,0.89,0.0055,0.21
3,35,5,30.72,1.917,0.86,0.0268,1.03
4,35,10,21.41,0.341,0.9,0.0144,0.55
0,36,3,33.43,0.166,0.88,0.0013,0.05
1,36,4,37.27,0.622,0.78,0.0052,0.2
2,36,7,36.73,0.683,1.11,0.0145,0.56
3,36,5,28.83,1.135,0.76,0.0149,0.57
4,36,10,51.61,0.719,1.06,0.0148,0.57
0,37,4,23.45,0.345,0.85,0.005,0.19
1,37,2,45.59,1.079,0.9,0.0043,0.16
2,37,3,28.33,1.956,0.89,0.0185,0.71
3,37,5,28.49,1.029,0.9,0.0162,0.62
4,37,8,24.39,0.669,0.91,0.0199,0.77
0,38,4,35.49,1.941,1.09,0.0238,0.92
1,38,3,49.1,1.241,0.95,0.0072,0.28
2,38,8,43.01,0.554,0.72,0.0074,0.29
3,38,6,24.95,0.34,0.87,0.0071,0.27
4,38,8,49.81,0.597,0.72,0.0069,0.26
0,39,3,43.57,0.89,0.89,0.0054,0.21
1,39,3,31.95,1.308,0.79,0.0097,0.37
2,39,5,49.03,0.114,0.86,0.001,0.04
3,39,11,39.25,1.25,0.98,0.0342,1.32
4,39,7,64.58,0.514,0.76,0.0042,0.16
0,40,4,49.54,0.138,1.21,0.0013,0.05
1,40,3,41.13,1.695,0.91,0.0113,0.43
2,40,8,49.65,0.147,0.85,0.002,0.08
3,40,8,35.12,1.296,0.89,0.0264,1.02
4,40,3,67.27,1.338,0.78,0.0046,0.18
0,41,3,53.2,0.129,1.08,0.0008,0.03
1,41,6,44.74,0.199,0.93,0.0025,0.1
2,41,2,19.12,1.573,1.29,0.0212,0.82
3,41,7,50.31,1.609,0.77,0.0173,0.67
4,41,5,40.66,0.952,1.17,0.0137,0.53
0,42,5,44.44,1.16,0.97,0.0127,0.49
1,42,6,30.8,0.796,1.14,0.0176,0.68
2,42,1,65.52,1.718,1.0,0.0026,0.1
3,42,10,39.46,1.658,0.71,0.0298,1.15
4,42,2,49.42,1.013,1.19,0.0049,0.19
0,43,5,25.75,1.176,1.26,0.0287,1.11
1,43,4,49.31,0.536,0.78,0.0034,0.13
2,43,5,35.99,0.806,1.05,0.0117,0.45
3,43,4,33.98,1.751,1.02,0.021,0.81
4,43,5,24.82,1.475,0.94,0.0278,1.07
0,44,6,47.08,1.621,1.26,0.0261,1.01
1,44,1,53.3,1.22,1.02,0.0023,0.09
2,44,3,24.61,1.274,1.29,0.02,0.77
3,44,2,39.62,1.147,1.24,0.0072,0.28
4,44,5,26.23,0.881,0.95,0.016,0.62
0,45,4,16.19,0.315,1.24,0.0097,0.37
1,45,7,27.82,1.263,0.87,0.0277,1.07
2,45,7,32.21,1.58,0.77,0.0265,1.02
3,45,2,55.59,0.924,0.72,0.0024,0.09
4,45,6,25.1,0.73,0.96,0.0168,0.65
0,46,7,44.01,0.411,0.99,0.0065,0.25
1,46,2,33.87,1.876,1.06,0.0117,0.45
2,46,7,32.88,1.628,1.11,0.0385,1.48
3,46,5,62.46,1.012,0.93,0.0075,0.29
4,46,7,38.02,1.678,1.23,0.0381,1.47
0,47,6,42.1,0.687,0.86,0.0084,0.32
1,47,5,20.13,0.397,0.78,0.0077,0.3
2,47,6,17.72,0.208,0.99,0.0069,0.27
3,47,5,37.79,0.29,1.12,0.0043,0.17
4,47,4,60.91,1.195,1.27,0.01,0.38
0,48,7,34.03,1.001,1.23,0.0252,0.97
1,48,1,48.57,1.083,1.26,0.0028,0.11
2,48,8,62.33,1.947,0.84,0.0211,0.81
3,48,4,45.87,0.165,0.75,0.0011,0.04
4,48,5,38.35,1.796,1.15,0.0269,1.03
0,49,3,31.52,1.481,0.71,0.0101,0.39
1,49,7,42.01,1.931,1.1,0.0355,1.37
2,49,2,44.88,1.033,1.01,0.0046,0.18
3,49,5,41.84,1.583,0.75,0.0142,0.55
4,49,10,35.54,1.604,1.13,0.051,1.97
0,50,7,25.64,1.782,1.0,0.0489,1.88
1,50,7,30.9,1.291,0.9,0.0262,1.01
2,50,10,55.17,1.05,0.76,0.0144,0.56
3,50,1,27.71,0.475,0.81,0.0014,0.05
4,50,5,41.77,1.552,0.87,0.0161,0.62
0,51,3,41.1,1.642,1.29,0.0155,0.6
1,51,8,18.23,1.274,0.76,0.0427,1.64
2,51,7,52.82,0.352,0.74,0.0035,0.13
3,51,3,47.56,0.946,0.84,0.005,0.19
4,51,1,35.25,1.867,1.26,0.0066,0.26
0,52,5,22.22,0.5,1.21,0.0136,0.53
1,52,3,46.98,0.104,0.96,0.0006,0.02
2,52,6,23.51,1.72,0.75,0.0331,1.27
3,52,3,29.49,0.272,1.0,0.0028,0.11
4,52,4,28.79,1.683,0.77,0.0181,0.7
0,53,5,23.02,0.992,1.06,0.0227,0.88
1,53,8,22.4,0.359,0.74,0.0095,0.37
2,53,7,32.83,0.877,1.1,0.0205,0.79
3,53,5,49.29,1.536,1.24,0.0194,0.75
4,53,4,39.55,0.13,1.1,0.0014,0.06
0,54,6,27.79,1.236,1.08,0.0289,1.11
1,54,8,41.01,1.084,0.98,0.0208,0.8
2,54,4,53.88,0.548,0.76,0.0031,0.12
3,54,3,42.28,0.622,0.86,0.0038,0.15
4,54,2,36.42,1.318,0.81,0.0059,0.23
0,55,3,37.5,0.323,0.71,0.0018,0.07
1,55,9,33.61,0.107,1.05,0.003,0.12
2,55,5,48.29,1.583,0.98,0.0161,0.62
3,55,4,29.08,0.953,0.99,0.013,0.5
4,55,7,37.53,0.887,0.96,0.0158,0.61
0,56,8,33.55,1.333,0.9,0.0285,1.1
1,56,4,36.89,0.134,0.76,0.0011,0.04
2,56,4,37.9,1.286,1.3,0.0176,0.68
3,56,8,29.43,0.745,0.92,0.0186,0.72
4,56,5,54.48,1.352,1.16,0.0144,0.55
0,57,5,35.88,0.846,0.84,0.0099,0.38
1,57,6,46.42,0.177,1.06,0.0024,0.09
2,57,7,39.3,0.772,1.19,0.0164,0.63
3,57,2,33.81,0.167,1.04,0.001,0.04
4,57,1,45.6,1.53,1.01,0.0034,0.13
0,58,7,32.79,1.588,1.09,0.0369,1.42
1,58,5,37.67,0.399,0.75,0.004,0.15
2,58,4,50.79,1.212,0.9,0.0086,0.33
3,58,4,44.86,1.301,1.26,0.0146,0.56
4,58,3,43.08,0.906,1.04,0.0066,0.25
0,59,8,51.21,1.655,1.22,0.0315,1.21
1,59,7,41.93,1.356,0.84,0.0191,0.73
2,59,1,18.32,1.008,0.78,0.0043,0.16
3,59,2,57.59,0.806,0.89,0.0025,0.1
4,59,4,58.66,0.452,0.82,0.0025,0.1
0,60,6,29.28,1.863,0.75,0.0287,1.11
1,60,4,41.08,1.636,0.76,0.0121,0.47
2,60,6,37.5,0.383,1.21,0.0074,0.28
3,60,8,43.33,0.449,1.1,0.0091,0.35
4,60,7,36.06,1.556,1.04,0.0314,1.21
0,61,5,42.11,0.289,1.26,0.0043,0.17
1,61,2,32.13,0.146,1.01,0.0009,0.04
2,61,1,48.2,0.7,1.18,0.0017,0.07
3,61,7,34.51,0.79,1.17,0.0187,0.72
4,61,4,51.76,1.459,1.07,0.0121,0.47
0,62,1,24.75,0.44,1.03,0.0018,0.07
1,62,6,46.79,0.504,0.91,0.0059,0.23
2,62,5,43.98,0.282,1.19,0.0038,0.15
3,62,8,61.77,0.175,1.26,0.0028,0.11
4,62,5,35.9,0.4,1.24,0.0069,0.27
0,63,4,38.92,1.454,1.28,0.0191,0.74
1,63,10,40.76,1.763,0.98,0.0423,1.63
2,63,7,23.16,1.085,0.72,0.0237,0.91
3,63,4,37.57,1.913,1.26,0.0256,0.99
4,63,8,36.4,0.111,1.06,0.0026,0.1
0,64,5,34.72,1.857,0.95,0.0255,0.98
1,64,5,48.49,1.01,0.86,0.009,0.35
2,64,5,48.39,0.738,0.71,0.0054,0.21
3,64,2,38.09,1.591,0.81,0.0068,0.26
4,64,3,37.35,1.972,1.23,0.0195,0.75
0,65,4,39.49,0.861,1.04,0.009,0.35
1,65,9,28.38,0.373,0.81,0.0096,0.37
2,65,0,46.52,0.926,1.23,0.0,0.0
3,65,5,38.54,0.531,1.01,0.007,0.27
4,65,5,50.08,1.674,0.73,0.0122,0.47
0,66,5,41.9,0.401,1.26,0.006,0.23
1,66,5,47.39,1.866,1.03,0.0203,0.78
2,66,4,36.62,1.844,0.84,0.0168,0.65
3,66,9,16.85,0.713,0.91,0.0347,1.34
4,66,6,42.67,0.399,0.97,0.0054,0.21
0,67,2,21.52,1.89,1.16,0.0204,0.79
1,67,6,40.76,1.554,1.07,0.0244,0.94
2,67,6,49.65,1.523,0.78,0.0145,0.56
3,67,6,31.95,1.371,0.96,0.0248,0.95
4,67,5,50.36,0.911,1.05,0.0095,0.37
0,68,2,37.25,1.706,1.19,0.0109,0.42
1,68,5,24.36,0.379,0.76,0.0059,0.23
2,68,3,17.52,1.575,0.75,0.0203,0.78
3,68,3,39.76,1.678,0.94,0.0119,0.46
4,68,3,37.72,0.657,0.9,0.0047,0.18
0,69,6,37.07,1.144,0.96,0.0177,0.68
1,69,6,42.49,0.59,0.83,0.0069,0.27
2,69,4,39.53,0.646,0.91,0.006,0.23
3,69,5,45.93,1.66,0.92,0.0167,0.64
4,69,5,40.36,0.512,0.76,0.0048,0.19
0,70,7,51.99,0.116,0.99,0.0015,0.06
1,70,5,32.95,1.857,0.8,0.0226,0.87
2,70,3,41.93,1.226,1.22,0.0107,0.41
3,70,4,50.88,1.88,0.84,0.0124,0.48
4,70,7,37.2,0.831,0.98,0.0154,0.59
0,71,5,32.09,1.92,0.99,0.0296,1.14
1,71,7,37.64,0.305,0.7,0.004,0.15
2,71,8,29.42,0.165,1.0,0.0045,0.17
3,71,7,30.73,0.624,1.14,0.0162,0.62
4,71,5,53.32,1.626,1.08,0.0165,0.64
0,72,8,35.51,1.604,1.29,0.0466,1.79
1,72,4,39.45,0.116,0.97,0.0011,0.04
2,72,6,51.39,1.596,1.19,0.0221,0.85
3,72,8,27.83,0.175,0.84,0.0042,0.16
4,72,6,35.87,0.249,0.95,0.0039,0.15
0,73,3,56.43,1.555,1.16,0.0096,0.37
1,73,8,20.22,1.646,0.99,0.0645,2.48
2,73,4,60.02,1.875,0.74,0.0093,0.36
3,73,7,39.65,1.38,1.29,0.0314,1.21
4,73,2,40.76,0.577,0.97,0.0028,0.11
0,74,10,40.99,0.527,1.1,0.0142,0.55
1,74,6,38.27,0.813,1.23,0.0156,0.6
2,74,4,37.0,1.85,1.01,0.0201,0.78
3,74,5,23.18,0.936,1.29,0.0261,1.0
4,74,6,35.26,1.637,1.1,0.0306,1.18
0,75,4,54.33,1.685,0.94,0.0116,0.45
1,75,5,41.51,0.492,1.21,0.0072,0.28
2,75,6,14.79,0.998,0.97,0.0393,1.51
3,75,3,39.53,1.873,1.03,0.0147,0.57
4,75,7,77.27,0.431,0.77,0.003,0.12
0,76,7,61.76,0.597,0.94,0.0064,0.25
1,76,8,30.02,0.811,1.05,0.0227,0.88
2,76,4,43.44,1.789,0.85,0.014,0.54
3,76,7,33.61,1.046,0.71,0.0154,0.59
4,76,3,34.01,1.322,1.15,0.0134,0.52
0,77,4,46.65,1.125,0.9,0.0087,0.33
1,77,4,41.28,1.609,0.97,0.0151,0.58
2,77,0,38.07,1.264,0.82,0.0,0.0
3,77,1,48.58,1.035,0.78,0.0017,0.06
4,77,1,32.42,0.166,0.86,0.0004,0.02
0,78,7,36.61,0.222,1.12,0.0047,0.18
1,78,5,38.98,1.336,1.18,0.0202,0.78
2,78,5,40.81,0.622,0.71,0.0054,0.21
3,78,8,38.3,0.173,1.1,0.004,0.15
4,78,3,34.43,0.139,1.26,0.0015,0.06
0,79,5,55.55,1.887,0.95,0.0162,0.62
1,79,3,31.28,0.309,0.81,0.0024,0.09
2,79,5,45.07,0.798,0.85,0.0075,0.29
3,79,1,44.08,0.658,1.22,0.0018,0.07
4,79,7,35.91,1.713,0.92,0.0308,1.19
0,80,2,41.25,1.197,1.15,0.0067,0.26
1,80,4,37.4,1.056,1.04,0.0117,0.45
2,80,6,53.75,1.065,1.14,0.0136,0.52
3,80,7,43.37,1.022,0.98,0.0162,0.62
4,80,9,47.2,1.732,0.8,0.0263,1.01
0,81,4,11.33,0.746,1.15,0.0303,1.17
1,81,1,20.26,0.897,1.3,0.0057,0.22
2,81,4,35.1,0.285,0.72,0.0023,0.09
3,81,6,43.96,0.107,0.9,0.0013,0.05
4,81,3,33.76,1.358,0.91,0.011,0.42
0,82,4,28.13,1.071,1.25,0.0191,0.74
1,82,2,41.93,1.047,1.05,0.0052,0.2
2,82,6,51.52,0.995,1.05,0.0122,0.47
3,82,8,35.32,1.359,1.04,0.0321,1.24
4,82,7,55.86,0.618,0.87,0.0067,0.26
0,83,2,44.19,1.575,0.79,0.0057,0.22
1,83,6,55.26,0.544,1.1,0.0065,0.25
2,83,9,36.34,1.832,1.27,0.0577,2.22
3,83,3,55.69,0.633,1.22,0.0042,0.16
4,83,8,41.73,0.863,0.89,0.0147,0.57
0,84,7,27.42,0.264,0.76,0.0051,0.2
1,84,6,25.79,1.933,0.81,0.0366,1.41
2,84,10,36.5,0.742,1.16,0.0236,0.91
3,84,5,39.72,1.454,0.95,0.0174,0.67
4,84,5,51.06,0.467,1.03,0.0047,0.18
0,85,5,32.77,0.343,1.14,0.0059,0.23
1,85,5,39.53,1.434,0.74,0.0134,0.52
2,85,4,16.62,0.399,0.72,0.0069,0.27
3,85,10,7.64,0.589,1.05,0.0812,3.12
4,85,3,40.21,1.311,1.14,0.0111,0.43
0,86,2,40.21,1.642,1.21,0.0099,0.38
1,86,6,27.61,0.545,1.26,0.0149,0.58
2,86,4,45.46,1.743,1.04,0.016,0.62
3,86,4,40.73,0.703,0.81,0.0056,0.21
4,86,8,43.23,1.271,0.8,0.0188,0.73
0,87,5,37.98,0.739,0.9,0.0087,0.34
1,87,4,39.51,0.213,1.01,0.0022,0.08
2,87,7,52.86,0.831,1.18,0.013,0.5
3,87,4,29.36,0.197,1.01,0.0027,0.1
4,87,2,29.74,1.832,1.01,0.0124,0.48
0,88,2,47.11,0.223,1.16,0.0011,0.04
1,88,3,39.0,1.286,1.29,0.0128,0.49
2,88,3,28.05,0.406,0.95,0.0041,0.16
3,88,8,25.05,1.047,0.8,0.0267,1.03
4,88,6,51.6,1.441,0.96,0.0161,0.62
0,89,0,33.68,0.134,1.18,0.0,0.0
1,89,8,25.25,1.134,1.02,0.0365,1.4
2,89,5,44.44,0.105,1.05,0.0012,0.05
3,89,4,52.3,1.701,1.16,0.0151,0.58
4,89,5,46.07,0.846,1.0,0.0092,0.35
0,90,7,30.85,1.586,0.94,0.0338,1.3
1,90,6,37.98,1.88,1.24,0.0367,1.41
2,90,3,22.95,1.924,0.83,0.0209,0.8
3,90,4,26.36,0.877,1.15,0.0153,0.59
4,90,2,50.0,1.841,1.12,0.0083,0.32
0,91,4,32.53,0.343,0.8,0.0034,0.13
1,91,1,42.94,1.626,0.74,0.0028,0.11
2,91,9,47.59,1.89,0.87,0.031,1.19
3,91,3,55.68,1.029,1.19,0.0066,0.25
4,91,1,15.11,1.926,0.79,0.01,0.39
0,92,5,27.46,1.281,1.23,0.0286,1.1
1,92,4,47.25,1.556,1.24,0.0164,0.63
2,92,6,35.57,1.376,1.03,0.0238,0.92
3,92,5,55.78,1.182,1.16,0.0123,0.47
4,92,8,38.81,0.463,0.77,0.0073,0.28
0,93,5,58.41,1.537,0.77,0.0101,0.39
1,93,7,23.23,0.246,1.24,0.0092,0.35
2,93,4,44.25,1.663,1.03,0.0156,0.6
3,93,1,37.96,0.122,1.13,0.0004,0.01
4,93,5,39.41,1.896,0.87,0.021,0.81
0,94,4,43.78,1.196,0.77,0.0084,0.32
1,94,3,30.67,0.566,1.02,0.0056,0.22
2,94,2,44.88,1.663,1.05,0.0078,0.3
3,94,12,57.54,0.723,1.03,0.0156,0.6
4,94,5,51.45,0.768,0.81,0.006,0.23
0,95,10,26.35,0.474,0.94,0.017,0.65
1,95,6,19.94,0.198,1.09,0.0065,0.25
2,95,1,37.66,1.919,0.78,0.004,0.15
3,95,6,43.02,0.457,1.02,0.0065,0.25
4,95,2,27.99,1.62,1.11,0.0128,0.49
0,96,4,34.18,1.547,1.11,0.0202,0.78
1,96,5,35.66,0.386,1.27,0.0069,0.27
2,96,8,52.5,1.036,0.89,0.0141,0.54
3,96,4,49.38,0.571,0.87,0.004,0.15
4,96,2,29.35,1.346,1.12,0.0103,0.4
0,97,1,41.62,0.584,1.24,0.0017,0.07
1,97,8,36.68,1.337,0.71,0.0208,0.8
2,97,8,52.22,1.875,0.8,0.0231,0.89
3,97,4,13.81,0.835,1.2,0.0291,1.12
4,97,1,25.06,0.417,0.82,0.0014,0.05
0,98,9,42.74,1.682,1.24,0.044,1.69
1,98,4,40.21,1.246,0.77,0.0095,0.37
2,98,2,36.18,1.48,0.91,0.0075,0.29
3,98,4,42.51,0.639,0.91,0.0055,0.21
4,98,3,54.68,1.931,0.7,0.0074,0.29
0,99,8,41.22,1.421,1.03,0.0283,1.09
1,99,9,45.45,1.263,0.76,0.019,0.73
2,99,4,54.84,1.476,0.83,0.0089,0.34
3,99,4,47.61,0.828,1.18,0.0082,0.31
4,99,5,44.16,0.79,1.25,0.0112,0.43
0,100,11,54.77,0.61,1.28,0.0157,0.6
1,100,8,41.06,0.229,1.09,0.0049,0.19
2,100,6,15.46,1.981,1.3,0.0999,3.85
3,100,2,18.82,1.632,1.02,0.0178,0.68
4,100,8,42.78,1.989,1.25,0.0463,1.78
0,101,7,36.39,0.954,0.79,0.0145,0.56
1,101,6,52.63,1.709,1.17,0.0228,0.88
2,101,5,54.97,1.639,1.01,0.015,0.58
3,101,3,33.17,1.277,1.06,0.0123,0.47
4,101,5,23.42,1.171,1.05,0.0263,1.01
0,102,3,48.27,0.404,1.23,0.0031,0.12
1,102,3,15.16,1.442,0.92,0.0263,1.01
2,102,7,20.77,0.307,1.07,0.0111,0.43
3,102,4,35.11,1.486,1.03,0.0175,0.67
4,102,4,44.21,1.136,0.74,0.0076,0.29
0,103,6,30.12,1.365,1.24,0.0339,1.3
1,103,6,51.95,1.539,0.71,0.0126,0.48
2,103,3,36.97,1.128,1.22,0.0111,0.43
3,103,4,14.67,1.364,1.06,0.0393,1.51
4,103,6,46.37,1.437,1.0,0.0186,0.72
